Time Frame,Repository,PR Number,PR Title,Author,Opened by Swedish,Total Comments,Commented by Swedish,Total Reviews,Reviewed by Swedish,Merge Time (Days)
2018_2019,youtube-dl,20235,[urplay] Extract timestamp,0x9fff00,YES,2,YES,2,YES,2
2018_2019,youtube-dl,15147,[acast] Fix broken episode extractor,wader,YES,0,NO,2,YES,0
2022_2024,react,25295,"Grammar. Removed doubles of the word ""the"".",Vicachu42,YES,2,NO,0,NO,0
2022_2024,react,25352,Refactor: more word doubles removed,Vicachu42,YES,1,NO,0,NO,0
2022_2024,react,25332,refactor: removed duplicated words in comments,Vicachu42,YES,1,NO,0,NO,0
2022_2024,react,25333,Fix duplicate words tests,Vicachu42,YES,2,NO,0,NO,0
2018_2019,vue,7988,refactor: add empty v-bind warning(re #7973),lyhper,NO,3,NO,3,YES,198
2022_2024,superset,26707,chore(helm): Upgrade default Superset version to 3.1.0,dnskr,YES,0,NO,1,NO,0
2022_2024,superset,27005,fix(helm): Fix inconsistency for the chart appVersion and default image tag,dnskr,YES,0,NO,1,NO,0
2022_2024,superset,23941,build: helm template to set init job annotations,ybudweiser,NO,2,YES,3,NO,13
2022_2024,superset,23926,chore(helm): Declare missing properties,dnskr,YES,2,YES,2,NO,1
2022_2024,superset,23923,chore(helm): Split service templates into separate files,dnskr,YES,1,YES,1,NO,4
2022_2024,superset,23726,chore(helm): Use template comments for the chart license header,dnskr,YES,2,YES,2,NO,12
2022_2024,superset,23681,chore(helm): Reformat helm chart templates,dnskr,YES,2,YES,1,NO,4
2022_2024,superset,23594,feat(helm): Upgrade default Superset version to 2.1.0,dnskr,YES,0,NO,1,NO,0
2022_2024,superset,22854,feat(helm): Make Chart.AppVersion default value for image tag,dnskr,YES,4,YES,3,NO,6
2022_2024,kubernetes,120412,only drop invalid cstate packets if non liberal,aojea,NO,6,YES,4,NO,1
2022_2024,kubernetes,117965,proxy/ipvs: use healthzServer for instantiating the IPVS IPv6 proxier,aroradaman,NO,5,YES,1,YES,1
2022_2024,kubernetes,122979,Migrate `pkg/proxy` to contextual logging: Part 1,fatsheep9146,NO,5,YES,5,YES,88
2022_2024,kubernetes,123545,"fix:When the --bind-address parameter of kube-proxy is configured as ipv6, the ip address of metrics listens to 127.0.0.1 by default, instead of::1",yangjunmyfm192085,NO,5,YES,4,YES,50
2022_2024,kubernetes,121928,Automated cherry pick of #121919: kube-proxy: Fix etp:Local for externalIPs,uablrek,YES,3,YES,1,NO,34
2022_2024,kubernetes,122323,Automated cherry pick of #121919: kube-proxy: Fix etp:Local for externalIPs,uablrek,YES,3,YES,1,NO,6
2022_2024,kubernetes,121919,kube-proxy: Fix etp:Local for externalIPs,uablrek,YES,5,YES,0,NO,27
2022_2024,kubernetes,122769,Bump shellcheck to 0.9.0,thockin,NO,6,NO,3,YES,21
2022_2024,kubernetes,119525,Kube-proxy: Get nodeIPs for both families with dual-stack,uablrek,YES,5,YES,3,YES,49
2022_2024,kubernetes,122630,Kube-proxy: use type net.IP for addresses,uablrek,YES,4,YES,4,YES,2
2022_2024,kubernetes,122655,kube-proxy: don't use invalid cidrs in unit test,uablrek,YES,3,YES,1,NO,0
2022_2024,kubernetes,121744,Remove unnecessary sort in kube-proxy ipvs,uablrek,YES,4,YES,2,YES,37
2022_2024,kubernetes,121801,"Fix ""go test -count=2 ./pkg/proxy/iptables""",danwinship,NO,4,YES,2,YES,3
2022_2024,kubernetes,115019,Allow node addresses to be used as loadBalancer addresses for proxy-mode=ipvs,uablrek,YES,6,YES,2,YES,106
2022_2024,kubernetes,120864,kube-proxy: Optionally do privileged configs only,uablrek,YES,5,YES,6,YES,30
2022_2024,kubernetes,119791,Hardening LB SourceRanges filtering for IPVS proxier,aroradaman,NO,3,YES,2,YES,65
2022_2024,kubernetes,121072,Fix regression in cmd/kube-proxy/app unit test speed,danwinship,NO,3,YES,1,YES,1
2022_2024,kubernetes,120851,Remove an old compatibility check/warning,dhruvmehtaaa,NO,4,YES,1,YES,0
2022_2024,kubernetes,117684,Automated cherry pick of #115019: proxy/ipvs: add a GetAllLocalAddressesExcept() function,uablrek,YES,4,YES,1,NO,2
2022_2024,kubernetes,117759,Automated cherry pick of #117723: Kube-proxy/ipvs: accept access to healthCheckNodePort on LbIP,uablrek,YES,3,NO,1,NO,0
2022_2024,kubernetes,117755,Automated cherry pick of #117723: Kube-proxy/ipvs: accept access to healthCheckNodePort on LbIP,uablrek,YES,5,YES,1,NO,0
2022_2024,kubernetes,117723,Kube-proxy/ipvs: accept access to healthCheckNodePort on LbIP,uablrek,YES,4,YES,0,NO,0
